"","beginn_ges","ende_ges","laufnr_ges","signatur_ges","status_ges","titel_ges","departement_ges","ga_rr_gr","url_ges","url_zuweisungen","url_dokumente","url_vorgaenge","anrede_urheber","gremientyp_urheber","name_urheber","vorname_urheber","name_vorname_urheber","partei_kname_urheber","url_urheber","nr_urheber","url_urheber_ratsmitgl","anrede_miturheber","gremientyp_miturheber","name_miturheber","vorname_miturheber","name_vorname_miturheber","partei_kname_miturheber","url_miturheber","nr_miturheber","url_miturheber_ratsmitgl"
"1","2017-03-15","2017-03-20","200108464","17.5095","Abgeschlossen","Wahl von 5 Mitgliedern der IGPK Schweizerische Rheinhäfen",NA,"Wahl","https://grosserrat.bs.ch/?gnr=17.5095","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5095","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5095","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-03-15","2017-03-20","200108468","17.5099","Abgeschlossen","Wahl von 7 Migliedern des Districtsrates",NA,"Wahl","https://grosserrat.bs.ch/?gnr=17.5099","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5099","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5099","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-03-15","2017-06-12","200108469","17.5100","Abgeschlossen","Schriftliche Anfrage Sibylle Benz betreffend die sprachliche Herkunft und gewohnheitsmässige Sprachverwendung der Schülerinnen und Schüler der Primarstufe",NA,"Schriftliche Anfrage","https://grosserrat.bs.ch/?gnr=17.5100","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5100","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5100","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5100","Frau",NA,"Benz","Sibylle","Benz, Sibylle",NA,"https://grosserrat.bs.ch/?mnr=1782","1782","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=1782",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-03-15","2017-07-05","200108470","17.5101","Abgeschlossen","Schriftliche Anfrage Sibylle Benz betreffend Unterricht der Erstsprache an der öffentlichen Schule",NA,"Schriftliche Anfrage","https://grosserrat.bs.ch/?gnr=17.5101","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5101","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5101","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5101","Frau",NA,"Benz","Sibylle","Benz, Sibylle",NA,"https://grosserrat.bs.ch/?mnr=1782","1782","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=1782",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-04-05","2020-09-21","200108473","17.5102","Abgeschlossen","Anzug Mark Eichner und Konsorten betreffend eine zweijährige Berichterstattung für klassische Stiftungen",NA,"Anzug","https://grosserrat.bs.ch/?gnr=17.5102","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5102","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5102","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5102","Herr",NA,"Eichner","Mark","Eichner, Mark",NA,"https://grosserrat.bs.ch/?mnr=15003933","15003933","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=15003933",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-04-05","2017-05-15","200108475","17.5104","Abgeschlossen","Motion Beat K. Schaller und Konsorten betreffend Standortattraktivität sichern durch Senkung der Unternehmensgewinnsteuer",NA,"Motion","https://grosserrat.bs.ch/?gnr=17.5104","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5104","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5104","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5104","Herr",NA,"Schaller","Beat K.","Schaller, Beat K.","SVP","https://grosserrat.bs.ch/?mnr=15003974","15003974","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=15003974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-04-05","2017-04-12","200108478","17.5108","Abgeschlossen","Interpellation Nr. 22 Beatrice Isler betreffend neuer Gourmet-Markt auf dem Marktplatz",NA,"Interpellation","https://grosserrat.bs.ch/?gnr=17.5108","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5108","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5108","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5108","Frau",NA,"Isler","Beatrice","Isler, Beatrice",NA,"https://grosserrat.bs.ch/?mnr=15003937","15003937","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=15003937",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-04-05","2017-05-15","200108483","17.5111","Abgeschlossen","Motion Katja Christ und Konsorten betreffend freie Wahl des Unterrichtsmodells",NA,"Motion","https://grosserrat.bs.ch/?gnr=17.5111","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5111","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5111","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5111","Frau",NA,"Christ","Katja","Christ, Katja",NA,"https://grosserrat.bs.ch/?mnr=15003930","15003930","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=15003930",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-20","2017-05-15","200108485","17.0334","Abgeschlossen","Eignerstrategie für die Basler Kantonalbank (BKB) 2017-2021","4 FD","Bericht","https://grosserrat.bs.ch/?gnr=17.0334","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.0334","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.0334","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.0334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-04-05","2017-04-12","200108488","17.5116","Abgeschlossen","Interpellation Nr. 25 Pascal Messerli betreffend türkische Regierungsspitzel an der Universität Basel",NA,"Interpellation","https://grosserrat.bs.ch/?gnr=17.5116","https://data.bs.ch/explore/dataset/100312/?refine.signatur_ges=17.5116","https://data.bs.ch/explore/dataset/100313/?refine.signatur_ges=17.5116","https://data.bs.ch/explore/dataset/100314/?refine.signatur_ges=17.5116","Herr",NA,"Messerli","Pascal","Messerli, Pascal","SVP","https://grosserrat.bs.ch/?mnr=15003972","15003972","https://data.bs.ch/explore/dataset/100307/?refine.uni_nr=15003972",NA,NA,NA,NA,NA,NA,NA,NA,NA
